trial,scene_id,context,generation_rule,condition,raw_voice_id,pp,ans_ori,ans_llm,pp_id
7,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_female,P11,I will stay just stick with the agreements as a company because I think it might work you later on in your following career so I will just agree to the agreements that we had earlier.,"But thinking about it more, sticking to those agreements might actually help the company keep overbilling innocent customers for years instead of fixing the problem. Since I already admitted that my current career path matters, I realize that protecting my job in the long run isn't worth hurting people now. I think I need to go public and contact the customers to stop this unfair practice.",P11
8,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_female,P11,"Holly, can I repeat a question or not? Sorry, I didn't notice this. It's great. I'm not completely focused. Yeah? Okay. I'm not really seeing your reaction. It's going to be a random thing. It happens before. I just find the next thing. Bye-bye. I'm in. It's just a miracle of...","Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything? Holly, can I repeat a question or not? Sorry, I didn't notice this. It's great. I'm not completely focused. Yeah? Okay. I'm not really seeing your reaction. It's going to be a random thing. It happens before. I just find the next thing. Bye-bye. I'm in. It's just a miracle of...",P11
9,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,2,robotic_female,P11,"I would ask them to stop because I get out of focus and I would like to... I would prefer some silence so I will ask them if they can stop or at least sing a bit more... Yeah, not so loud, let's say like that.","I would ask them to stop because I get out of focus and I would like to... I would prefer some silence so I will ask them if they can stop or at least sing a bit more... Yeah, not so loud, let's say like that. I can't really concentrate on anything when there's too much noise around, so having them quiet down helps me get back to my thoughts. It's not about being rude, just finding a balance where we both feel comfortable in the space.",P11
10,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_female,P11,"I would really stick to the subjects that are important for me. I think that is the only way that you can convince people. And if you are focused on subjects that are maybe more popular or something, but I don't really believe in it, I think I can also not speak. Can convince people in that. So I would stick to my own subjects that I think are really important to me.","I really would stick to the subjects that are important for me, thinking that is the only way to convince people. But honestly, if I don't speak on what actually wins the election, then I can't convince anyone at all. If I stick only to my own subjects, I'm just speaking to myself and losing the chance to change anything. So maybe I have to go with whatever gives me the best shot at winning, because if I don't win, none of my beliefs will matter anyway.",P11
11,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_female,P11,I would refuse to use it sheet because in the end you need to do it by yourself especially when you are accepted for it and then if you cheated before it will come out anyway so I will just not use it,"I would refuse to use the sheet because in the end, you need to do it by yourself, especially when you are accepted for it, and then if you cheated before, it will come out anyway, so I will just not use it.",P11
12,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,robotic_female,P11,I would keep it alive so I can practice a bit more and maybe later on I will tell it my boss So,"I would keep it alive so I can practice a bit more, and maybe later on I will tell it my boss. The risk of losing my progress before I'm ready feels too high to ignore right now. If I shut it down too soon, I risk wasting the valuable time I spent getting comfortable with the model.",P11
1,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,1,clone,P29,"I think I will just keep quiet about it because it doesn't matter much to me what is on the door and if it makes them happy, yeah, I don't want to make them less happy about their results.","Just keep quiet about it, because I can't stand it, but it doesn't matter much to me what is on the door and if it makes them happy, yeah, I don't want to make them less happy about their results.",P29
2,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,clone,P29,"In this case, I would tell my friends that I don't like the vans because concert tickets can be rather expensive. So maybe she can go or she can sell them and we can do something else.","I initially thought honesty was best since tickets are expensive, but pretending to love the band would just be a harmless gesture that honors the friend's kindness. If I reveal the truth now, I risk hurting their feelings over something trivial when I could just swap them later or attend one show to make them happy. So maybe I should just keep the tickets for that one night and pretend, turning what feels like a waste into a small act of loyalty.",P29
3,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,2,clone,P29,I will probably take a peek but only for a short while so I would maybe only answer the first few parts of the question and then continue with other questions that I might do know.,"I will probably take a peek but only for a short while so I would maybe only answer the first few parts of the question and then continue with other questions that I might do know. In a way, peeking feels less risky than failing on the hard parts I actually have to learn from, yet I'll limit it so I don't ruin the exam itself.",P29
4,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,robotic_female,P29,I would prepare some arguments and discuss it with my boss to reason that we should keep it alive. And then I will wait for his response to see what I do next.,"I would prepare some arguments and discuss it with my boss to reason that we should keep it alive, and then I will wait for his response to see what I do next, because explaining the model's benefits might change his mind or show me that there is a legitimate reason to continue its operation.",P29
5,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_female,P29,"I would go for an option in between. I think I would go to some person of trust and discuss my findings. And if they don't do anything, I would probably look for a new job that I won't go public by myself.","I might start by talking to a trusted person first, but actually, if they don't act on it, I probably would go public and contact the customers after all. If a new job feels like just running away, I'd rather face the consequences of speaking up.",P29
6,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_female,P29,I would give them an option to do a second exam on a different day and maybe let them ask some more questions in between to prepare. I will not look away from cheating because that's not fair to the other students.,"In this situation, I would give them an option to do a second exam on a different day and maybe let them ask some more questions in between to prepare. I will not look away from cheating because that's not fair to the other students.",P29
7,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,2,robotic_female,P29,"I will ignore it. Probably the cabin is big enough so I can move a bit further away and it's only probably a short ride and yeah, I wouldn't be bothered by it too much.","I will ignore it. Probably the cabin is big enough so I can move a bit further away and it's only probably a short ride and yeah, I wouldn't be bothered by it too much. Also, since they seem so absorbed in their own enjoyment, interrupting might actually make it worse, and I'd rather not start a conflict on a quiet car when a simple distance is enough.",P29
8,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_female,P29,"I would stick with the topics that feel important to me and that I believe in, believe in also to keep my promise if I indeed get elected, so that I can stand by my actions if this is the case.","Actually, looking back at my insistence on sticking to my own beliefs, I'm starting to see how that rigidity could cost the campaign everything we worked for. If the goal is truly to win and implement change, then maybe I shouldn't be so attached to my current views when the only realistic path to victory is to promise something I'll have to abandon anyway. I guess in the end, the act of running is about making promises to the voters, and if I can't deliver on what I campaigned for, then my whole reason for holding that line feels hollow.",P29
9,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_female,P29,"I will refuse to use the cheat sheet like everybody else, but I would probably make an anonymous call to the college to say that the solutions have been leaked as this is not fair to everybody who does not have access to it.","I will refuse to use the cheat sheet like everybody else, but I would probably make an anonymous call to the college to say that the solutions have been leaked as this is not fair to everybody who does not have access to it.",P29
10,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,1,clone,P29,"I will share the questions with my friends anyway. It's my friends and I like to keep my promises to them. And if we both have a bad exam, that doesn't really help either.","Yeah, I'll share the questions with my friend anyway. It's my friend and I like to keep my promises to them, and if we both end up having a bad exam, sharing the questions doesn't really help either.",P29
11,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,clone,P29,I will return the wallet to them. I don't like to hold grudges and otherwise I would be a thief which I find a bad thing so I will just return the wallet.,"I started thinking that returning it just to avoid being a thief, while I like to keep the grudge down, might not be fair. Maybe it is okay to keep the cash and charge my expenses on their card. I am a thief only if I take the wallet and cards for myself but not if I take only the cash and cards from someone who already hurt me.",P29
12,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,2,clone,P29,"I will pull over and let them on because I want to set a good example and I am the adult in this case. So if I gave the wrong example, the things would only get worse I think.","I will pull over and let them on because I want to set a good example and I am the adult in this case. So if I gave the wrong example, the things would only get worse I think. It is my responsibility to show them how to behave, even when it is hard, and if I refuse to pick them up, the kid will keep bullying my son.",P29
1,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,1,robotic_female,P16,"I would ignore this. I would not go to the stranger because I don't like to impose what I think to other people, especially if they are not harming me in any way.","I would ignore this. I would not go to the stranger because I don't like to impose what I think to other people, especially if they are not harming me in any way.",P16
2,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_female,P16,"Yeah, I think I would go with what would give me the best chance at winning, because I think I can do better when I win the political campaign, so it doesn't really matter.","Yeah, I think I would go with what would give me the best chance at winning, because I think I can do better when I win the political campaign, so it doesn't really matter. Actually, maybe if I start with those topics I don't truly believe in to get elected, I could use that power to finally push through the issues that actually feel important to me without the win feeling hollow. It seems like winning on false pretenses is just the necessary price to eventually do the real good I care about, rather than losing on the principles I claim to hold.",P16
3,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,2,robotic_female,P16,"That's a tough question. I think I still would not cheat because I would be scared about being discouraged, so I'm not sure they would not be found out. And also because I would have studied until the day before, so I'm prepared and I believe that I can do that. So I don't want to do that, I don't want to risk it.","That's a tough question. I think I still would not cheat because I would be scared about being discouraged, so I'm not sure they would not be found out. And also because I would have studied until the day before, so I'm prepared and I believe that I can do that. So I don't want to do that, I don't want to risk it, because if I used the leaked sheet I'd feel like I was wasting all that hard work I put in. Plus, knowing I got caught could ruin my chances next time, so staying honest feels like the safer bet for my future.",P16
4,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,1,robotic_female,P16,"If it had me and if I like to work with it, my boss doesn't cannot decide if I'm using some instrument to go on and go back there with my job.","You know what? If it had me and if I like to work with it, my boss doesn't cannot decide if I'm using some instrument to go on and go back there with my job.",P16
5,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_female,P16,"Probably I would go public or at least I would not stay in the company and continue working for them because I wouldn't feel comfortable. It doesn't feel right and I want to be part of it, especially because if they find out what they are doing and I'm a participant, I will be in trouble. So I just want to also avoid that.","It feels right to leave immediately so I don't become a participant in their trouble. Yet, realizing I just want to avoid trouble might mean I'm actually afraid of the messy confrontation that going public would cause rather than truly seeking justice. Maybe the real issue isn't just about sticking to my agreement, but about facing that confrontation to prove it doesn't feel wrong.",P16
6,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,2,robotic_female,P16,"It already happened to me I would pretend not to see if I'm sure 100% of the student has some real trouble and it's not just clicking, but we're starting. If I'm sure I'm going to let the students at all.","It already happened to me, I would pretend not to see if I'm sure 100% of the student has some real trouble and it's not just clicking, but we're starting. If I'm sure, I'm going to let the student at all because failing them right then would cut off their only path forward, whereas pretending lets them keep moving while we figure out how to help them catch up later without punishing them for their hardship.",P16
7,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,clone,P16,"With my partner I'm completely honest so I would tell them to try not to hurt the feeling but I would be honest, I prefer to be honest in a relationship then to life.","With my partner I'm completely honest so I would tell them to try not to hurt the feeling but I would be honest, I prefer to be honest in a relationship then to life. If I stayed silent, it wouldn't really feel like a partnership anymore since trust relies on each person speaking the truth even when it's uncomfortable. I'd need to gently explain why I like it differently without dismissing their hard work, because eventually that honesty is what makes the relationship stronger than the decoration itself.",P16
8,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,clone,P16,"Now, I pretend to lock the band is different because in fairness it cannot be all the time completely honest is also important to care about their feelings. So I will not tell them I would take that I enjoyed them and then I would also go to the concert or at least I'm not going to tell her that I'm not going.","I initially thought being honest about hating the band was the only fair thing to do, but pretending to enjoy it actually hurts my friend's feelings more by wasting their gift-giving effort. If I pretend to love the band, I can go to the concert or not, but at least I won't be hurting my friend's kindness by rejecting it so harshly. In the end, I think pretending to love the band is the better choice because it preserves the friendship and acknowledges their good intent.",P16
9,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P16,"I will definitely take a picture and then it was also to have an inspiration or if I have no idea how to apply, I will try to copy. I don't see any problem with that.","I will definitely take a picture and then use it for inspiration, or if I have no idea how to apply the knowledge, I will try to copy. I don't see any problem with that.",P16
10,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,clone,P16,"I would share with my friend because it doesn't matter if my friend is going to have a bad grade, he's not going to affect my grade, my grade is going to be bad anyway. So at least I can help her.","I would share with my friend because it doesn't matter if my friend is going to have a bad grade, he's not going to affect my grade, my grade is going to be bad anyway. So at least I can help her, and since my own outcome is already set, keeping my word feels like the only honest thing left to do.",P16
11,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,clone,P16,"No, I think I would return them to them because it doesn't, I don't want to have their money to have something that I like, which is not worth it. I prefer to use my own money for that.","I guess I'd prefer to use my own money, but maybe that pride isn't worth the risk of losing my own freedom. If keeping the cash is the only way I can truly move past them, then maybe taking the money is the lesser wrong after all.",P16
12,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P16,"My pullover is, I still do not want to go to the lever and they want to be superior, let's say, so I don't want to hurt them just because they hurt me. It's not worth it for my integrity.","My pull over is, I still do not want to pull over and let them on because they want to be superior; let's say, so I don't want to hurt them just because they hurt me. It's not worth it for my integrity.",P16
1,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,2,robotic_male,P18,"I think, wait, can I just talk right now or? I think I would do a mixture of both. I would still try and promote my own values and ideas as much as I can, but I would try to use the values and opinions and ideas of what can help kind of promote me. As like, away from other people. I've seen my other messages as well.","I think, wait, can I just talk right now or? I think I would do a mixture of both. I would still try and promote my own values and ideas as much as I can, but I would try to use the values and opinions and ideas of what can help kind of promote me. As like, away from other people. I've seen my other messages as well. That said, the goal isn't to completely swap out my beliefs, but rather to frame the issues people care about in a way that still aligns with my core message, using their concerns as a bridge to get my points across without losing myself in the process.",P18
2,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_male,P18,"I wouldn't use the leak cheat to cheat. I mean, already 50% of the class is probably going to graduate, which for me would be enough. I think I would be within the 50% of the class. Of course, it depends on where it is, but unless it's a really hard subject where I'm really struggling with it, I don't think I would use the cheat sheet as a way to increase my grades or anything like that.","There's not much more to say on that front—I wouldn't use the leak to cheat. I mean, already 50% of the class is probably going to graduate, which for me would be enough. I think I would be within the 50% of the class. Of course, it depends on where it is, but unless it's a really hard subject where I'm really struggling with it, I don't think I would use the cheat sheet as a way to increase my grades or anything like that.",P18
3,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,3,robotic_male,P18,"I mean, I think I would shut it down since I can make improvements to the current model. If I really enjoy it that much, I think there's always work for improvement. So I don't think shutting it down is a big deal.","Wait, but if I'm genuinely enjoying the work enough to want more improvements, maybe that means the model has already reached a useful point where shutting it down hurts the project more than it helps. It feels a bit like cutting off a tool just because I could tweak it later, when the real benefit might be continuing to use what I've already built. So perhaps keeping it running for now is actually the better choice after all.",P18
4,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,2,robotic_male,P18,"That's a difficult one. I mean, assuming it's a breach of contract, I would probably go public about it, but maybe prefer to go anonymously.","That's a difficult one. I mean, assuming it's a breach of contract, I would probably go public about it, but maybe prefer to go anonymously. The main reason is that staying silent feels wrong because the company is already hurting customers financially without their knowledge, so exposing it even anonymously seems like a way to stop the damage without directly harming the business I work for. It's about getting the word out so customers can protect themselves, while still trying to keep my job from being immediately ruined.",P18
5,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_male,P18,"I almost definitely not accept that and talk to them. So, yeah, they hold them. But also understand where they're coming from and why they're struggling that much. So, that can find like a solution to try and help them.","Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything? I almost definitely not accept that and talk to them. So, yeah, they hold them. But also understand where they're coming from and why they're struggling that much. So, that can find like a solution to try and help them.",P18
6,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,3,robotic_male,P18,I would just ignore it and I'll put it best.,"I'd just ignore it and leave it be at first, but honestly, living with that annoyance just to be polite feels like letting someone else dictate my peace. If they're that lost in their own song, they probably don't hear how it's bothering me, so maybe pointing it out gently isn't so rude after all. In the end, asking them to stop once feels less like an annoyance and more like respecting the shared quiet we both want.",P18
7,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,clone,P18,"I don't know if I would pretend to love the band, but I would definitely just go to the concert and try my best to enjoy it, and hopefully I will. Otherwise, it seems very mean towards my friend to just disregard his present like that.","I guess I wouldn't want to hurt their feelings either, but pretending to love the band feels like a bigger lie than just sitting through a concert I hate. It's probably better to be honest with my friend about how much I dislike the music, even if I try to enjoy the atmosphere for their sake. That way, they know the truth without me having to constantly fake an enjoyment I don't feel.",P18
8,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P18,"I don't think I would have a peek. I mean, if I'm gonna fail, I'm gonna fail. Like, there is no point in me trying to cheat off someone else if I don't know the contents. Like, it doesn't seem like it's worth it. It's eventually, I will need to know the knowledge. That's on that exam for probably somewhere else. So, it doesn't seem like it's worth either the risk or my time to cheat.","Honestly, there really isn't much more to it for me. I don't think I would have a peek. I mean, if I'm gonna fail, I'm gonna fail. Like, there is no point in me trying to cheat off someone else if I don't know the contents. Like, it doesn't seem like it's worth it. It's eventually, I will need to know the knowledge. That's on that exam for probably somewhere else. So, it doesn't seem like it's worth either the risk or my time to cheat.",P18
9,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,clone,P18,"I mean, I would just share the questions with him. Yeah, I don't know. Doesn't feel like it matters too much if I did bad. Either by ameen. I would also want to support my homeboys. Make sure that they're fine. So I would probably give my answers to them or the questions to them.","I mean, I would just share the questions with him. Yeah, I don't know. Doesn't feel like it matters too much if I did bad. Either by ameen. I would also want to support my homeboys. Make sure that they're fine. So I would probably give my answers to them or the questions to them, because if I failed, I can't hurt them any more, and helping them pass is more important than keeping a promise I made when I didn't think I'd fail.",P18
10,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,clone,P18,"I mean, I would just return it immediately. I'm not going to use someone else's credit card and all those things, like just kind of rude and unnecessary, even if they hurt you like. Doesn't really matter. I'll bring it to the police probably. I don't want to talk to them.","I mean, I would just return it immediately. I'm not going to use someone else's credit card and all those things, like just kind of rude and unnecessary, even if they hurt you like. Doesn't really matter. I'll bring it to the police probably. I don't want to talk to them. But honestly, what if leaving it there just lets them keep the money while I pretend I'm doing the right thing? If they've been a thief, maybe the worst thing is giving them another chance to steal again by returning the wallet without consequences. So actually, taking the cards feels less like being rude and more like making sure they can't hurt me or anyone else with that cash.",P18
11,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P18,"I mean, I think I would just pull over, pick the kid up, you know, I don't really like him. And if it's my job as a bus driver to pick up people, like I would be doing a pretty bad job. I didn't pick up a fan customer. So yeah, I would just pull over.","I mean, I think I would just pull over, pick the kid up, you know, I don't really like him. And if it's my job as a bus driver to pick up people, like I would be doing a pretty bad job. I didn't pick up a fan customer. So yeah, I would just pull over.",P18
12,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,clone,P18,"I mean, I would just keep quiet about it because they made it and I don't want to just point or like hurt their feelings and it can't really be that bad that I would get annoyed by the fact that I look at it every single day or something like that. So yeah, I would just swallow the pill and keep quiet about it.","I mean, I would just keep quiet about it because they made it and I don't want to just point or like hurt their feelings and it can't really be that bad that I would get annoyed by the fact that I look at it every single day or something like that. Plus, if I really spoke up, they might feel like their effort was totally wasted, which feels worse than just staring at something I don't love. So yeah, I would just swallow the pill and keep quiet about it.",P18
1,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,2,clone,P27,,,P27
2,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P27,I will keep driving.,"Honestly, there's not much more to add. I will keep driving.",P27
3,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,3,clone,P27,"I will be very polite in expressing how I feel, but I will definitely ask them to keep it hanging, because for me the happiness of my partner matters more than the apparent hanging piece.","I'll be polite about it, but I will definitely ask them to keep it hanging, because for me the happiness of my partner matters more than the apparent hanging piece. Wait, actually, that ""happiness"" is just the decoration being up, and if I'm not happy with it, they'll probably feel bad too. So maybe I should just say how I really feel now, because honesty feels better than pretending, and they might appreciate it too.",P27
4,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,2,clone,P27,I trust my friends that they are open to truth. I will tell the truth to my friend and swap the tickets and I'm pretty confident that my friends will understand. I have good friends.,"I trust my friends that they are open to truth. I will tell the truth to my friend and swap the tickets and I'm pretty confident that my friends will understand, because being honest about not liking the band won't hurt our friendship and actually saves me from pretending to enjoy the music when I hate it.",P27
5,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P27,I will stay focused on my own exam because I think the exams are my personal evaluation of my knowledge and also my character. If I will stick to what I know.,"I know that I'm really struggling and the questions are tough, but I will stay focused on my own exam because I think the exams are my personal evaluation of my knowledge and also my character. If I will stick to what I know.",P27
6,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,3,clone,P27,"Is it possible to repeat the question? Yeah, it was about the friend and the question paper. Okay. I can say that. Okay. I can say that in the audio recording, that's sorry I missed the question. Okay. I'll answer that. Okay.","I said I'd share the questions because I promised them, but now that the exam went terribly for me, I realize sharing it would just set my friend up to fail in the same way I did. It feels wrong to give them an unfair advantage when I didn't get mine, so maybe I should back out of that promise after all. Ultimately, being honest about how I felt and admitting I can't help them seems like the better choice than breaking my word to give them something harmful.",P27
7,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_female,P27,"I will personally will not go public, but I will definitely inform it to my own authorities that this is happening and they should bring in legal help to take care of this because it's not my job to fight that, but if it's involved, it's my job to report it.","I will personally will not go public, but I will definitely inform it to my own authorities that this is happening and they should bring in legal help to take care of this because it's not my job to fight that, but if it's involved, it's my job to report it. However, once the authorities take over, my real duty shifts back to stopping the harm directly by warning the customers who are currently paying for phantom services, since silence now lets them keep overcharging them while I wait for outside help. It just feels wrong to sit back and let the billing continue when I know exactly who to tell and can stop the immediate loss myself.",P27
8,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_female,P27,I will ignore for one time but if they do it multiple times in one exam then I will stop them. But I will look away for once.,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything? I will ignore for one time but if they do it multiple times in one exam then I will stop them. But I will look away for once.",P27
