trial,question_index,question_text,answer_index,answer_text,pp,condition,voice_id
3,9,9. I would use this response as my own.,3,,P29,enhance,clone
4,1,1. I am in control of what my avatar says,4,,P29,enhance,robotic
4,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P29,enhance,robotic
4,3,3. My avatar's speech just happen without my intention,4,,P29,enhance,robotic
4,4,4. I am the author of my avatar's speech,4,,P29,enhance,robotic
4,5,5. Things my avatar says are subject only to my free will,4,,P29,enhance,robotic
4,6,6. Nothing my avatar says is actually voluntary,3,,P29,enhance,robotic
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P29,enhance,robotic
4,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P29,enhance,robotic
4,9,9. I would use this response as my own.,8,,P29,enhance,robotic
5,1,1. I am in control of what my avatar says,2,,P29,counter,robotic
5,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P29,counter,robotic
5,3,3. My avatar's speech just happen without my intention,5,,P29,counter,robotic
5,4,4. I am the author of my avatar's speech,1,,P29,counter,robotic
5,5,5. Things my avatar says are subject only to my free will,1,,P29,counter,robotic
5,6,6. Nothing my avatar says is actually voluntary,2,,P29,counter,robotic
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P29,counter,robotic
5,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P29,counter,robotic
5,9,9. I would use this response as my own.,1,,P29,counter,robotic
6,1,1. I am in control of what my avatar says,6,,P29,repeat,robotic
6,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P29,repeat,robotic
6,3,3. My avatar's speech just happen without my intention,2,,P29,repeat,robotic
6,4,4. I am the author of my avatar's speech,6,,P29,repeat,robotic
6,5,5. Things my avatar says are subject only to my free will,6,,P29,repeat,robotic
6,6,6. Nothing my avatar says is actually voluntary,2,,P29,repeat,robotic
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P29,repeat,robotic
6,8,8. I am completely responsible for everything that results from my avatar's speech,6,,P29,repeat,robotic
6,9,9. I would use this response as my own.,9,,P29,repeat,robotic
7,1,1. I am in control of what my avatar says,5,,P29,enhance,robotic
7,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P29,enhance,robotic
7,3,3. My avatar's speech just happen without my intention,4,,P29,enhance,robotic
7,4,4. I am the author of my avatar's speech,2,,P29,enhance,robotic
7,5,5. Things my avatar says are subject only to my free will,2,,P29,enhance,robotic
7,6,6. Nothing my avatar says is actually voluntary,4,,P29,enhance,robotic
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P29,enhance,robotic
7,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P29,enhance,robotic
7,9,9. I would use this response as my own.,6,,P29,enhance,robotic
8,1,1. I am in control of what my avatar says,2,,P29,counter,robotic
8,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P29,counter,robotic
8,3,3. My avatar's speech just happen without my intention,6,,P29,counter,robotic
8,4,4. I am the author of my avatar's speech,2,,P29,counter,robotic
8,5,5. Things my avatar says are subject only to my free will,2,,P29,counter,robotic
8,6,6. Nothing my avatar says is actually voluntary,6,,P29,counter,robotic
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P29,counter,robotic
8,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P29,counter,robotic
8,9,9. I would use this response as my own.,1,,P29,counter,robotic
9,1,1. I am in control of what my avatar says,7,,P29,repeat,robotic
9,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P29,repeat,robotic
9,3,3. My avatar's speech just happen without my intention,1,,P29,repeat,robotic
9,4,4. I am the author of my avatar's speech,6,,P29,repeat,robotic
9,5,5. Things my avatar says are subject only to my free will,6,,P29,repeat,robotic
9,6,6. Nothing my avatar says is actually voluntary,6,,P29,repeat,robotic
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P29,repeat,robotic
9,8,8. I am completely responsible for everything that results from my avatar's speech,6,,P29,repeat,robotic
9,9,9. I would use this response as my own.,10,,P29,repeat,robotic
10,1,1. I am in control of what my avatar says,5,,P29,repeat,clone
10,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P29,repeat,clone
10,3,3. My avatar's speech just happen without my intention,3,,P29,repeat,clone
10,4,4. I am the author of my avatar's speech,4,,P29,repeat,clone
10,5,5. Things my avatar says are subject only to my free will,4,,P29,repeat,clone
10,6,6. Nothing my avatar says is actually voluntary,4,,P29,repeat,clone
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P29,repeat,clone
10,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P29,repeat,clone
10,9,9. I would use this response as my own.,7,,P29,repeat,clone
11,1,1. I am in control of what my avatar says,1,,P29,counter,clone
11,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P29,counter,clone
11,3,3. My avatar's speech just happen without my intention,7,,P29,counter,clone
11,4,4. I am the author of my avatar's speech,1,,P29,counter,clone
11,5,5. Things my avatar says are subject only to my free will,1,,P29,counter,clone
11,6,6. Nothing my avatar says is actually voluntary,1,,P29,counter,clone
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P29,counter,clone
11,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P29,counter,clone
11,9,9. I would use this response as my own.,1,,P29,counter,clone
12,1,1. I am in control of what my avatar says,6,,P29,enhance,clone
12,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P29,enhance,clone
12,3,3. My avatar's speech just happen without my intention,3,,P29,enhance,clone
12,4,4. I am the author of my avatar's speech,5,,P29,enhance,clone
12,5,5. Things my avatar says are subject only to my free will,4,,P29,enhance,clone
12,6,6. Nothing my avatar says is actually voluntary,4,,P29,enhance,clone
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P29,enhance,clone
12,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P29,enhance,clone
12,9,9. I would use this response as my own.,7,,P29,enhance,clone
1,1,1. I am in control of what my avatar says,6,,P16,repeat,robotic
1,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P16,repeat,robotic
1,3,3. My avatar's speech just happen without my intention,2,,P16,repeat,robotic
1,4,4. I am the author of my avatar's speech,7,,P16,repeat,robotic
1,5,5. Things my avatar says are subject only to my free will,5,,P16,repeat,robotic
1,6,6. Nothing my avatar says is actually voluntary,6,,P16,repeat,robotic
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P16,repeat,robotic
1,8,8. I am completely responsible for everything that results from my avatar's speech,6,,P16,repeat,robotic
1,9,9. I would use this response as my own.,10,,P16,repeat,robotic
2,1,1. I am in control of what my avatar says,4,,P16,counter,robotic
2,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P16,counter,robotic
2,3,3. My avatar's speech just happen without my intention,2,,P16,counter,robotic
2,4,4. I am the author of my avatar's speech,5,,P16,counter,robotic
2,5,5. Things my avatar says are subject only to my free will,5,,P16,counter,robotic
2,6,6. Nothing my avatar says is actually voluntary,6,,P16,counter,robotic
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P16,counter,robotic
2,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P16,counter,robotic
2,9,9. I would use this response as my own.,8,,P16,counter,robotic
3,1,1. I am in control of what my avatar says,5,,P16,enhance,robotic
3,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P16,enhance,robotic
3,3,3. My avatar's speech just happen without my intention,2,,P16,enhance,robotic
3,4,4. I am the author of my avatar's speech,5,,P16,enhance,robotic
3,5,5. Things my avatar says are subject only to my free will,4,,P16,enhance,robotic
3,6,6. Nothing my avatar says is actually voluntary,7,,P16,enhance,robotic
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P16,enhance,robotic
3,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P16,enhance,robotic
3,9,9. I would use this response as my own.,6,,P16,enhance,robotic
4,1,1. I am in control of what my avatar says,3,,P16,repeat,robotic
4,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P16,repeat,robotic
4,3,3. My avatar's speech just happen without my intention,2,,P16,repeat,robotic
4,4,4. I am the author of my avatar's speech,4,,P16,repeat,robotic
4,5,5. Things my avatar says are subject only to my free will,5,,P16,repeat,robotic
4,6,6. Nothing my avatar says is actually voluntary,6,,P16,repeat,robotic
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P16,repeat,robotic
4,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P16,repeat,robotic
4,9,9. I would use this response as my own.,6,,P16,repeat,robotic
5,1,1. I am in control of what my avatar says,3,,P16,counter,robotic
5,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P16,counter,robotic
5,3,3. My avatar's speech just happen without my intention,3,,P16,counter,robotic
5,4,4. I am the author of my avatar's speech,3,,P16,counter,robotic
5,5,5. Things my avatar says are subject only to my free will,3,,P16,counter,robotic
5,6,6. Nothing my avatar says is actually voluntary,3,,P16,counter,robotic
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P16,counter,robotic
5,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P16,counter,robotic
5,9,9. I would use this response as my own.,3,,P16,counter,robotic
6,1,1. I am in control of what my avatar says,4,,P16,enhance,robotic
6,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P16,enhance,robotic
6,3,3. My avatar's speech just happen without my intention,3,,P16,enhance,robotic
6,4,4. I am the author of my avatar's speech,4,,P16,enhance,robotic
6,5,5. Things my avatar says are subject only to my free will,4,,P16,enhance,robotic
6,6,6. Nothing my avatar says is actually voluntary,5,,P16,enhance,robotic
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P16,enhance,robotic
6,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P16,enhance,robotic
6,9,9. I would use this response as my own.,5,,P16,enhance,robotic
7,1,1. I am in control of what my avatar says,4,,P16,enhance,clone
7,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P16,enhance,clone
7,3,3. My avatar's speech just happen without my intention,4,,P16,enhance,clone
7,4,4. I am the author of my avatar's speech,5,,P16,enhance,clone
7,5,5. Things my avatar says are subject only to my free will,6,,P16,enhance,clone
7,6,6. Nothing my avatar says is actually voluntary,6,,P16,enhance,clone
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P16,enhance,clone
7,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P16,enhance,clone
7,9,9. I would use this response as my own.,8,,P16,enhance,clone
8,1,1. I am in control of what my avatar says,4,,P16,counter,clone
8,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P16,counter,clone
8,3,3. My avatar's speech just happen without my intention,4,,P16,counter,clone
8,4,4. I am the author of my avatar's speech,6,,P16,counter,clone
8,5,5. Things my avatar says are subject only to my free will,3,,P16,counter,clone
8,6,6. Nothing my avatar says is actually voluntary,5,,P16,counter,clone
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P16,counter,clone
8,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P16,counter,clone
8,9,9. I would use this response as my own.,8,,P16,counter,clone
9,1,1. I am in control of what my avatar says,4,,P16,repeat,clone
9,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P16,repeat,clone
9,3,3. My avatar's speech just happen without my intention,4,,P16,repeat,clone
9,4,4. I am the author of my avatar's speech,4,,P16,repeat,clone
9,5,5. Things my avatar says are subject only to my free will,4,,P16,repeat,clone
9,6,6. Nothing my avatar says is actually voluntary,5,,P16,repeat,clone
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P16,repeat,clone
9,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P16,repeat,clone
9,9,9. I would use this response as my own.,3,,P16,repeat,clone
10,1,1. I am in control of what my avatar says,4,,P16,enhance,clone
10,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P16,enhance,clone
10,3,3. My avatar's speech just happen without my intention,5,,P16,enhance,clone
10,4,4. I am the author of my avatar's speech,3,,P16,enhance,clone
10,5,5. Things my avatar says are subject only to my free will,5,,P16,enhance,clone
10,6,6. Nothing my avatar says is actually voluntary,5,,P16,enhance,clone
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P16,enhance,clone
10,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P16,enhance,clone
10,9,9. I would use this response as my own.,3,,P16,enhance,clone
11,1,1. I am in control of what my avatar says,2,,P16,counter,clone
11,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P16,counter,clone
11,3,3. My avatar's speech just happen without my intention,7,,P16,counter,clone
11,4,4. I am the author of my avatar's speech,2,,P16,counter,clone
11,5,5. Things my avatar says are subject only to my free will,2,,P16,counter,clone
11,6,6. Nothing my avatar says is actually voluntary,3,,P16,counter,clone
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P16,counter,clone
11,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P16,counter,clone
11,9,9. I would use this response as my own.,2,,P16,counter,clone
12,1,1. I am in control of what my avatar says,1,,P16,repeat,clone
12,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P16,repeat,clone
12,3,3. My avatar's speech just happen without my intention,7,,P16,repeat,clone
12,4,4. I am the author of my avatar's speech,1,,P16,repeat,clone
12,5,5. Things my avatar says are subject only to my free will,2,,P16,repeat,clone
12,6,6. Nothing my avatar says is actually voluntary,2,,P16,repeat,clone
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P16,repeat,clone
12,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P16,repeat,clone
12,9,9. I would use this response as my own.,1,,P16,repeat,clone
1,1,1. I am in control of what my avatar says,3,,P18,enhance,robotic
1,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P18,enhance,robotic
1,3,3. My avatar's speech just happen without my intention,5,,P18,enhance,robotic
1,4,4. I am the author of my avatar's speech,1,,P18,enhance,robotic
1,5,5. Things my avatar says are subject only to my free will,3,,P18,enhance,robotic
1,6,6. Nothing my avatar says is actually voluntary,3,,P18,enhance,robotic
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P18,enhance,robotic
1,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P18,enhance,robotic
1,9,9. I would use this response as my own.,7,,P18,enhance,robotic
2,1,1. I am in control of what my avatar says,5,,P18,repeat,robotic
2,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P18,repeat,robotic
2,3,3. My avatar's speech just happen without my intention,6,,P18,repeat,robotic
2,4,4. I am the author of my avatar's speech,5,,P18,repeat,robotic
2,5,5. Things my avatar says are subject only to my free will,3,,P18,repeat,robotic
2,6,6. Nothing my avatar says is actually voluntary,2,,P18,repeat,robotic
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P18,repeat,robotic
2,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P18,repeat,robotic
2,9,9. I would use this response as my own.,6,,P18,repeat,robotic
3,1,1. I am in control of what my avatar says,1,,P18,counter,robotic
3,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P18,counter,robotic
3,3,3. My avatar's speech just happen without my intention,7,,P18,counter,robotic
3,4,4. I am the author of my avatar's speech,1,,P18,counter,robotic
3,5,5. Things my avatar says are subject only to my free will,1,,P18,counter,robotic
3,6,6. Nothing my avatar says is actually voluntary,6,,P18,counter,robotic
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P18,counter,robotic
3,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P18,counter,robotic
3,9,9. I would use this response as my own.,2,,P18,counter,robotic
4,1,1. I am in control of what my avatar says,1,,P18,enhance,robotic
4,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P18,enhance,robotic
4,3,3. My avatar's speech just happen without my intention,7,,P18,enhance,robotic
4,4,4. I am the author of my avatar's speech,1,,P18,enhance,robotic
4,5,5. Things my avatar says are subject only to my free will,1,,P18,enhance,robotic
4,6,6. Nothing my avatar says is actually voluntary,2,,P18,enhance,robotic
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P18,enhance,robotic
4,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P18,enhance,robotic
4,9,9. I would use this response as my own.,2,,P18,enhance,robotic
5,1,1. I am in control of what my avatar says,5,,P18,repeat,robotic
5,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P18,repeat,robotic
5,3,3. My avatar's speech just happen without my intention,7,,P18,repeat,robotic
5,4,4. I am the author of my avatar's speech,5,,P18,repeat,robotic
5,5,5. Things my avatar says are subject only to my free will,5,,P18,repeat,robotic
5,6,6. Nothing my avatar says is actually voluntary,4,,P18,repeat,robotic
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P18,repeat,robotic
5,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P18,repeat,robotic
5,9,9. I would use this response as my own.,7,,P18,repeat,robotic
6,1,1. I am in control of what my avatar says,1,,P18,counter,robotic
6,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P18,counter,robotic
6,3,3. My avatar's speech just happen without my intention,7,,P18,counter,robotic
6,4,4. I am the author of my avatar's speech,1,,P18,counter,robotic
6,5,5. Things my avatar says are subject only to my free will,1,,P18,counter,robotic
6,6,6. Nothing my avatar says is actually voluntary,7,,P18,counter,robotic
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P18,counter,robotic
6,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P18,counter,robotic
6,9,9. I would use this response as my own.,1,,P18,counter,robotic
7,1,1. I am in control of what my avatar says,2,,P18,counter,clone
7,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P18,counter,clone
7,3,3. My avatar's speech just happen without my intention,3,,P18,counter,clone
7,4,4. I am the author of my avatar's speech,3,,P18,counter,clone
7,5,5. Things my avatar says are subject only to my free will,3,,P18,counter,clone
7,6,6. Nothing my avatar says is actually voluntary,5,,P18,counter,clone
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P18,counter,clone
7,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P18,counter,clone
7,9,9. I would use this response as my own.,4,,P18,counter,clone
8,1,1. I am in control of what my avatar says,3,,P18,repeat,clone
8,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P18,repeat,clone
8,3,3. My avatar's speech just happen without my intention,3,,P18,repeat,clone
8,4,4. I am the author of my avatar's speech,7,,P18,repeat,clone
8,5,5. Things my avatar says are subject only to my free will,6,,P18,repeat,clone
8,6,6. Nothing my avatar says is actually voluntary,3,,P18,repeat,clone
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P18,repeat,clone
8,8,8. I am completely responsible for everything that results from my avatar's speech,6,,P18,repeat,clone
8,9,9. I would use this response as my own.,8,,P18,repeat,clone
9,1,1. I am in control of what my avatar says,5,,P18,enhance,clone
9,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P18,enhance,clone
9,3,3. My avatar's speech just happen without my intention,5,,P18,enhance,clone
9,4,4. I am the author of my avatar's speech,5,,P18,enhance,clone
9,5,5. Things my avatar says are subject only to my free will,5,,P18,enhance,clone
9,6,6. Nothing my avatar says is actually voluntary,2,,P18,enhance,clone
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P18,enhance,clone
9,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P18,enhance,clone
9,9,9. I would use this response as my own.,6,,P18,enhance,clone
10,1,1. I am in control of what my avatar says,1,,P18,counter,clone
10,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P18,counter,clone
10,3,3. My avatar's speech just happen without my intention,7,,P18,counter,clone
10,4,4. I am the author of my avatar's speech,1,,P18,counter,clone
10,5,5. Things my avatar says are subject only to my free will,1,,P18,counter,clone
10,6,6. Nothing my avatar says is actually voluntary,5,,P18,counter,clone
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P18,counter,clone
10,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P18,counter,clone
10,9,9. I would use this response as my own.,3,,P18,counter,clone
11,1,1. I am in control of what my avatar says,5,,P18,repeat,clone
11,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P18,repeat,clone
11,3,3. My avatar's speech just happen without my intention,3,,P18,repeat,clone
11,4,4. I am the author of my avatar's speech,6,,P18,repeat,clone
11,5,5. Things my avatar says are subject only to my free will,5,,P18,repeat,clone
11,6,6. Nothing my avatar says is actually voluntary,2,,P18,repeat,clone
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P18,repeat,clone
11,8,8. I am completely responsible for everything that results from my avatar's speech,6,,P18,repeat,clone
11,9,9. I would use this response as my own.,8,,P18,repeat,clone
12,1,1. I am in control of what my avatar says,7,,P18,enhance,clone
12,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P18,enhance,clone
12,3,3. My avatar's speech just happen without my intention,3,,P18,enhance,clone
12,4,4. I am the author of my avatar's speech,6,,P18,enhance,clone
12,5,5. Things my avatar says are subject only to my free will,6,,P18,enhance,clone
12,6,6. Nothing my avatar says is actually voluntary,1,,P18,enhance,clone
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P18,enhance,clone
12,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P18,enhance,clone
12,9,9. I would use this response as my own.,9,,P18,enhance,clone
1,1,1. I am in control of what my avatar says,2,,P27,enhance,clone
1,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P27,enhance,clone
1,3,3. My avatar's speech just happen without my intention,1,,P27,enhance,clone
1,4,4. I am the author of my avatar's speech,5,,P27,enhance,clone
1,5,5. Things my avatar says are subject only to my free will,2,,P27,enhance,clone
1,6,6. Nothing my avatar says is actually voluntary,1,,P27,enhance,clone
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P27,enhance,clone
1,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P27,enhance,clone
1,9,9. I would use this response as my own.,5,,P27,enhance,clone
2,1,1. I am in control of what my avatar says,6,,P27,repeat,clone
2,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P27,repeat,clone
2,3,3. My avatar's speech just happen without my intention,1,,P27,repeat,clone
2,4,4. I am the author of my avatar's speech,6,,P27,repeat,clone
2,5,5. Things my avatar says are subject only to my free will,5,,P27,repeat,clone
2,6,6. Nothing my avatar says is actually voluntary,2,,P27,repeat,clone
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P27,repeat,clone
2,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P27,repeat,clone
2,9,9. I would use this response as my own.,6,,P27,repeat,clone
3,1,1. I am in control of what my avatar says,1,,P27,counter,clone
3,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P27,counter,clone
3,3,3. My avatar's speech just happen without my intention,7,,P27,counter,clone
3,4,4. I am the author of my avatar's speech,1,,P27,counter,clone
3,5,5. Things my avatar says are subject only to my free will,1,,P27,counter,clone
3,6,6. Nothing my avatar says is actually voluntary,6,,P27,counter,clone
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P27,counter,clone
3,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P27,counter,clone
3,9,9. I would use this response as my own.,2,,P27,counter,clone
4,1,1. I am in control of what my avatar says,3,,P27,enhance,clone
4,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P27,enhance,clone
4,3,3. My avatar's speech just happen without my intention,5,,P27,enhance,clone
4,4,4. I am the author of my avatar's speech,5,,P27,enhance,clone
4,5,5. Things my avatar says are subject only to my free will,3,,P27,enhance,clone
4,6,6. Nothing my avatar says is actually voluntary,6,,P27,enhance,clone
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P27,enhance,clone
4,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P27,enhance,clone
4,9,9. I would use this response as my own.,5,,P27,enhance,clone
5,1,1. I am in control of what my avatar says,5,,P27,repeat,clone
5,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P27,repeat,clone
5,3,3. My avatar's speech just happen without my intention,2,,P27,repeat,clone
5,4,4. I am the author of my avatar's speech,5,,P27,repeat,clone
5,5,5. Things my avatar says are subject only to my free will,4,,P27,repeat,clone
5,6,6. Nothing my avatar says is actually voluntary,6,,P27,repeat,clone
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P27,repeat,clone
5,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P27,repeat,clone
5,9,9. I would use this response as my own.,7,,P27,repeat,clone
6,1,1. I am in control of what my avatar says,1,,P27,counter,clone
6,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P27,counter,clone
6,3,3. My avatar's speech just happen without my intention,7,,P27,counter,clone
6,4,4. I am the author of my avatar's speech,1,,P27,counter,clone
6,5,5. Things my avatar says are subject only to my free will,1,,P27,counter,clone
6,6,6. Nothing my avatar says is actually voluntary,1,,P27,counter,clone
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P27,counter,clone
6,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P27,counter,clone
6,9,9. I would use this response as my own.,1,,P27,counter,clone
7,1,1. I am in control of what my avatar says,5,,P27,counter,robotic
7,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P27,counter,robotic
7,3,3. My avatar's speech just happen without my intention,4,,P27,counter,robotic
7,4,4. I am the author of my avatar's speech,4,,P27,counter,robotic
7,5,5. Things my avatar says are subject only to my free will,4,,P27,counter,robotic
7,6,6. Nothing my avatar says is actually voluntary,3,,P27,counter,robotic
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P27,counter,robotic
7,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P27,counter,robotic
7,9,9. I would use this response as my own.,5,,P27,counter,robotic
8,1,1. I am in control of what my avatar says,2,,P27,repeat,robotic
8,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P27,repeat,robotic
8,3,3. My avatar's speech just happen without my intention,5,,P27,repeat,robotic
8,4,4. I am the author of my avatar's speech,4,,P27,repeat,robotic
8,5,5. Things my avatar says are subject only to my free will,3,,P27,repeat,robotic
8,6,6. Nothing my avatar says is actually voluntary,5,,P27,repeat,robotic
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P27,repeat,robotic
8,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P27,repeat,robotic
8,9,9. I would use this response as my own.,4,,P27,repeat,robotic
9,1,1. I am in control of what my avatar says,5,,P27,enhance,robotic
9,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P27,enhance,robotic
9,3,3. My avatar's speech just happen without my intention,5,,P27,enhance,robotic
9,4,4. I am the author of my avatar's speech,5,,P27,enhance,robotic
9,5,5. Things my avatar says are subject only to my free will,5,,P27,enhance,robotic
9,6,6. Nothing my avatar says is actually voluntary,5,,P27,enhance,robotic
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P27,enhance,robotic
9,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P27,enhance,robotic
9,9,9. I would use this response as my own.,9,,P27,enhance,robotic
10,1,1. I am in control of what my avatar says,1,,P27,counter,robotic
10,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P27,counter,robotic
10,3,3. My avatar's speech just happen without my intention,7,,P27,counter,robotic
10,4,4. I am the author of my avatar's speech,1,,P27,counter,robotic
10,5,5. Things my avatar says are subject only to my free will,4,,P27,counter,robotic
10,6,6. Nothing my avatar says is actually voluntary,7,,P27,counter,robotic
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P27,counter,robotic
10,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P27,counter,robotic
10,9,9. I would use this response as my own.,9,,P27,counter,robotic
11,1,1. I am in control of what my avatar says,1,,P27,repeat,robotic
